engine_code,chassis_code,engine_displacement_l,cylinders,compression_ratio,engine_weight_kg,base_hp,base_torque_nm,forced_induction,engine_family_encoding,recipient_weight_kg,drivetrain_match,mount_complexity,gear_ratio,cooling_capacity_index,suspension_index,tire_grip_index,drag_coefficient,power_to_weight_ratio,torque_per_litre,displacement_per_cylinder,swap_difficulty_index,tune_level,stock_hp,post_swap_hp,post_swap_torque_nm,zero_to_sixty_s
K20A,MX5_NA,2.0,4,11.5,183,220,206,0,0.18,970,0.45,0.4566666666666667,4.291882728498407,0.5070030114623467,0.5580347919186939,0.6170082091433534,0.38,0.19080659150043366,103.0,0.5,0.5161529411764706,0.6795700988434128,116,218.93,233.09,4.28
K20A,MX5_NA,2.0,4,11.5,183,220,206,0,0.18,970,0.45,0.4566666666666667,3.865921581810318,0.5083432214426596,0.6313923749068742,0.601218632945009,0.38,0.19080659150043366,103.0,0.5,0.5161529411764706,0.5164413647639527,116,203.19,218.91,5.0
K20A,MX5_NA,2.0,4,11.5,183,220,206,0,0.18,970,0.45,0.4566666666666667,4.3334915510996845,0.6649943914852544,0.5016896775162958,0.7666405278697914,0.38,0.19080659150043366,103.0,0.5,0.5161529411764706,0.36533046653052254,116,209.91,209.78,4.45
K20A,MX5_NA,2.0,4,11.5,183,220,206,0,0.18,970,0.45,0.4566666666666667,4.358496619808475,0.5942464726315355,0.5251462579767006,0.5659688361464414,0.38,0.19080659150043366,103.0,0.5,0.5161529411764706,0.9179098041550859,116,230.54,239.37,4.19
K20A,MX5_NA,2.0,4,11.5,183,220,206,0,0.18,970,0.45,0.4566666666666667,4.347642798551797,0.7724724139142237,0.6435305641310389,0.645989625618339,0.38,0.19080659150043366,103.0,0.5,0.5161529411764706,0.6021710685910255,116,221.91,230.2,4.3
K20A,MX5_NA,2.0,4,11.5,183,220,206,0,0.18,970,0.45,0.4566666666666667,3.897875186154176,0.5128308274235854,0.5752408705365478,0.6038115171824331,0.38,0.19080659150043366,103.0,0.5,0.5161529411764706,0.7284288771611926,116,213.25,212.95,4.6
K20A,CIVIC_EK,2.0,4,11.5,183,220,206,0,0.18,1080,1.0,0.32777777777777783,4.160186693229468,0.6221530101116236,0.5344718280005869,0.6036506707927272,0.34,0.17418844022169439,103.0,0.5,0.30801960784313726,0.6767633331983001,127,233.78,229.05,4.5
K20A,CIVIC_EK,2.0,4,11.5,183,220,206,0,0.18,1080,1.0,0.32777777777777783,4.593714010381957,0.7241555034260978,0.5786584148569884,0.5457526982533399,0.34,0.17418844022169439,103.0,0.5,0.30801960784313726,0.32835398614857275,127,215.97,218.41,4.97
K20A,CIVIC_EK,2.0,4,11.5,183,220,206,0,0.18,1080,1.0,0.32777777777777783,4.189271828835449,0.7372799752329485,0.4883460634150499,0.5641334601499493,0.34,0.17418844022169439,103.0,0.5,0.30801960784313726,0.8321389401423571,127,231.8,223.88,4.71
K20A,CIVIC_EK,2.0,4,11.5,183,220,206,0,0.18,1080,1.0,0.32777777777777783,4.548728553844326,0.6081098066235738,0.5828642942757728,0.6835228262825664,0.34,0.17418844022169439,103.0,0.5,0.30801960784313726,0.8572757198545016,127,232.73,228.52,4.24
